RK,PO,E
465,359,3
466,513,5
467,183,2
468,199,3
469,831,13
470,215,12
471,53,1
472,198,12
473,235,5
474,136,7
475,75,2
476,19,1
477,43,7
478,21,1
479,44,4
480,5,1
481,16,3
482,4,1
483,0,1
484,0,0
485,0,0
486,2,0
487,5,0
488,1,0
489,4,0
490,3,0
491,1,0
492,1,0
493,3,0
494,26,0
495,14,0
496,153,1
497,939,7
498,134,1
499,276,6
500,293,3
501,251,3
502,1240,6
503,451,7
504,110,2
505,992,4
506,47,1
507,89,2
508,139,10
509,79,2
510,176,7
511,222,2
512,68,6
513,66,3
514,6,1
515,12,2
516,8,1
517,13,2
518,3,2
519,5,1
520,0,1
521,4,1
522,3,1
523,1,1
524,3,3
525,3,1
526,3,2
527,2,2
528,1,1
529,0,1
530,1,1
531,0,0
532,22,0
533,6,0
534,59,0
535,1,0
536,2,0
537,3,0
538,9,0
539,2,0
540,2,0
541,5,0
542,0,0
543,36,0
544,17,0
545,1,0
546,1,0
547,11,0
548,5,0
549,1,0
550,0,0
551,0,0
552,4,0
553,35,0
554,1,0
555,756,4
556,1188,7
557,180,5
558,524,5
559,130,2
560,303,9
561,79,1
562,267,4
563,223,4
564,7,1
565,201,6
566,16,1
567,66,9
568,54,6
569,38,3
570,13,2
571,2,2
572,6,1
573,4,1
574,3,1
575,1,1
576,20,0
577,9,0
578,1,0
579,13,0
580,39,0
581,3,0
582,2,0
583,0,0
584,9,0
585,1,0
586,2,0
587,1,0
588,54,0
589,17,0
590,0,0
591,5,0
592,1,0
593,1,0
594,992,4
595,1240,6
596,54,1
597,222,2
598,196,2
599,257,3
600,235,4
601,130,5
602,290,6
603,221,14
604,78,4
605,66,4
606,13,1
607,29,2
608,23,1
609,77,16
610,1,1
611,6,5
612,1,3
613,5,3
614,2,2
615,2,3
616,1,1
617,1,1
618,0,0
619,51,0
620,2,0
621,1,0
622,0,0
623,4,0
624,28,0
625,1,0
626,5,0
627,3,0
628,4,0
629,0,0
630,0,0
631,1,0
632,2,0
633,6,0
634,3,0
635,2,0
636,1,0
637,0,0
638,0,0
639,0,0
640,9,0
641,6,0
642,2,0
643,1,0
644,1105,2
645,380,1
646,1046,5
647,258,2
648,195,5
649,73,1
650,224,5
651,50,1
652,86,2
653,96,2
654,19,1
655,172,4
656,76,2
657,68,9
658,195,18
659,55,2
660,22,2
661,79,4
662,2,1
663,1,1
664,17,3
665,3,1
666,2,1
667,0,1
668,3,0
669,3,0
670,0,0
671,3,0
672,3,0
673,2,0
674,6,0
675,2,0
676,2,0
677,7,0
678,137,1
679,1316,11
680,105,1
681,614,6
682,70,2
683,486,7
684,209,3
685,190,3
686,55,1
687,106,2
688,98,5
689,206,14
690,143,4
691,28,1
692,8,1
693,177,13
694,7,1
695,198,29
696,18,1
697,33,5
698,19,2
699,8,2
700,11,1
701,10,2
702,5,3
703,8,5
704,1,1
705,2,1
706,1,1
707,1,1
708,2,3
709,0,1
710,0,1
711,0,1
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,1,0
719,0,0
720,1,0
721,0,0
722,12,0
723,3,0
724,0,0
725,5,0
726,2,0
727,4,0
728,0,0
729,3,0
730,3,0
731,1,0
732,3,0
733,38,0
734,0,0
735,811,2
736,240,1
737,189,1
738,187,1
739,679,5
740,286,8
741,243,4
742,321,6
743,176,4
744,29,1
745,143,4
746,137,7
747,105,10
748,229,7
749,20,1
750,50,2
751,86,11
752,6,1
753,9,1
754,122,8
755,61,15
756,1,1
757,3,1
758,110,18
759,2,1
760,4,3
761,3,1
762,1,1
763,0,0
764,0,0
765,0,0
766,89,0
767,170,0
768,1,0
769,3,0
770,0,0
771,39,0
772,3,0
773,1,0
774,4,0
775,4,0
776,2,0
777,0,0
778,0,0
779,1,0
780,21,0
781,0,0
782,2,0
783,2,0
784,3,0
785,18,0
786,3,0
787,336,1
788,867,3
789,778,4
790,186,1
791,304,3
792,272,3
793,84,1
794,250,3
795,227,12
796,39,3
797,199,5
798,11,1
799,180,15
800,35,1
801,90,10
802,12,1
803,6,1
804,16,1
805,9,2
806,1,1
807,4,1
808,4,2
809,2,1
810,2,4
811,4,3
812,1,1
813,0,1
814,0,1
815,0,0
816,12,0
817,0,0
818,2,0
819,1,0
820,1,0
821,1,0
822,2,0
823,0,0
824,15,0
825,3,0
826,3,0
827,3,0
828,83,0
829,2,0
830,3,0
831,31,0
832,1,0
833,164,0
834,1,0
835,0,0
836,2,0
837,0,0
838,1157,5
839,178,1
840,181,1
841,50,1
842,767,7
843,53,1
844,34,1
845,151,2
846,72,1
847,126,2
848,141,6
849,45,2
850,157,3
851,97,2
852,40,1
853,235,21
854,159,5
855,242,14
856,10,1
857,42,9
858,5,1
859,15,3
860,4,2
861,3,1
862,2,2
863,4,2
864,0,0
865,0,0
866,27,0
867,1,0
868,3,0
869,1,0
870,13,0
871,67,0
872,9,0
873,0,0
874,1,0
875,8,0
876,2,0
877,1,0
878,17,0
879,2,0
880,38,0
881,1,0
882,1,0
883,2,0
884,7,0
885,2,0
886,1,0
887,0,0
888,4,0
889,202,1
890,825,5
891,393,3
892,109,1
893,104,1
894,612,7
895,78,1
896,210,8
897,56,1
898,557,11
899,247,12
900,18,1
901,372,9
902,33,1
903,88,3
904,82,6
905,7,1
906,93,13
907,7,1
908,3,2
909,5,4
910,1,2
911,1,2
912,0,1
913,0,0
914,0,0
915,26,0
916,43,0
917,0,0
918,1,0
919,4,0
920,1,0
921,2,0
922,0,0
923,0,0
924,2,0
925,31,0
926,0,0
927,1,0
928,5,0
929,1,0
